nums,chans,neuts,suss,thOKs,thneus,thnos,numlegends,m_nums,m_chans,m_neuts,m_suss,m_thOKs,m_thneus,m_thnos,m_numlegends,m_toslegends,indegrees,c_ages,c_males,c_years,c_debts,c_s0s,c_s1s,c_s2s,c_s3s,c_s4s,c_s5s,c_s6s,c_s7s,c_s8s,c_s9s,c_s10s,c_snums
95,4,54,2,8,22,5,2,5.27777777777778,0.222222222222222,3,0.111111111111111,0.444444444444444,1.22222222222222,0.277777777777778,0.111111111111111,0,18,45,,,,0,0,0,1,0,0,0,0,0,0,0,1
98,2,27,2,21,43,3,16,5.15789473684211,0.105263157894737,1.42105263157895,0.105263157894737,1.10526315789474,2.26315789473684,0.157894736842105,0.842105263157895,0,19,,,50,3,0,1,0,1,1,0,0,0,0,0,1,4
167,5,60,1,26,64,11,0,13.9166666666667,0.416666666666667,5,0.0833333333333333,2.16666666666667,5.33333333333333,0.916666666666667,0,0,12,,,,2,0,0,0,1,1,0,0,0,0,0,0,2
701,35,284,17,85,252,28,4,11.1269841269841,0.555555555555556,4.50793650793651,0.26984126984127,1.34920634920635,4,0.444444444444444,0.0634920634920634,0,63,45,1,,,0,0,0,1,1,0,0,0,0,0,0,2
4,1,0,0,0,3,0,0,2,0.5,0,0,0,1.5,0,0,0,2,,,,,0,0,0,1,0,0,0,0,0,0,0,1
34,0,3,0,4,16,11,29,8.5,0,0.75,0,1,4,2.75,7.25,0,4,,,,,0,0,0,1,1,0,0,1,0,0,0,3
5,0,2,0,0,3,0,2,1.66666666666667,0,0.666666666666667,0,0,1,0,0.666666666666667,0,3,35,1,,,0,0,0,1,0,0,0,0,0,0,0,1
16,0,4,0,4,8,0,0,2.66666666666667,0,0.666666666666667,0,0.666666666666667,1.33333333333333,0,0,0,6,,,,22,0,0,1,1,0,1,0,1,1,0,0,5
24,1,6,0,2,15,0,11,6,0.25,1.5,0,0.5,3.75,0,2.75,0,4,,,,,0,0,0,0,0,1,0,0,0,0,0,1
20,1,6,0,1,11,1,5,2.5,0.125,0.75,0,0.125,1.375,0.125,0.625,0,8,,,,,0,1,0,0,0,0,0,0,1,0,0,2
